"@based_marina","RT @CharlesLapuz: @based_marina operation diabetes."
"@BigRod96","You gotta be able to taste the diabetes"
"@RolfeBrendan","Your kid forgot his cereal, theres a prize in every box; spoiler alert... Its diabetes #puffedsugar #modernfamily #eatrealfood"
"@JesseJRaven","@Behindthemask42 recently diagnosed with Type 2 diabetes - this is of real interest!"
"@bioDiabetes","#Diabetes News: Recipe for Poor Wound Healing Bacterial Infection Plus Stress "
"@BlogPodcastVid","RT @For_Sale_ The Type 2 Diabetes Cookbook  #wine #forsale #tips"
"@jessicagdep","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@hoops_Daddy","RT @Go2Slp: You guys.I just saw a bake sale to benefit a childhood diabetes foundation.The struggle is real."
"@incbizz","#sfyoganews Kind 2 Diabetes Guide "
"@DCSontheroad","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@Mr_Kapowski","RT @Go2Slp: You guys.I just saw a bake sale to benefit a childhood diabetes foundation.The struggle is real."
"@QualcommVenture","RT @youngjhmb: Welcome @Voluntis to @QualcommVenture Life Fund  #digitalhealth #venturecapital"
"@nessisms","@mrsbojane life would be easier without diabetes or pregnancy restrictions. For example I could eat a ham sandwich."
"@For_Sale_","RT @For_Sale_ The Type 2 Diabetes Cookbook  #wine #forsale #tips"
"@ThePrime_Mapp","As a joke I say no to chocolate from my dad cuz Ill get diabetes. What, youll only get it when its dark? Youre dark all the time ..."
"@lshanky","RT @DiabetesHopeFDN: Diabetes Hope Foundation Invests in the Success of Youth with DiabetesMore than 40 students will receive... "
"@brenna_julia","I swear sometimes my sisters diabetes gets out of control"
"@YockovJeff","@michaelstrahan rt BHOP 4ds May 9 7:30am Joe Hand Gym Philly donate at door benefit Juv diabetes Resear Foundation "
"@DammitDamian","New podcast w/ KEITH MORRIS @offofficial! We talk in depth about diabetes death &amp; what keeps him going! @VICERECORDS"
"@BDSupperClub","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@Becky_Miller5","RT @DiabetesHopeFDN: Diabetes Hope Foundation Invests in the Success of Youth with DiabetesMore than 40 students will receive... "
"@BcbbleGcm","I sob over when i remeber my mom has to take a pill everyday or she dies and my dad has diabetes thar i probably will too  @KittyPcws"
"@da_lil_mokestah","RT @TheNewSAT: #NewSATQuestionsPaul has 47 Hersheys Bars. He eats 31, and gives 8 to his friend. What does Paul have now?a.) 16b.) 8c.)"
"@NRBaybee","RT @Dropdeadcunts: Do you eat so much candyThat you know youre going to dieOf diabetes and dont care? I know I do lol"
"@markolson22","RT @melissakilbane3: I just saw a comment on someones Instagram that said I just got diabetes, this is so sweet ..........stop"
"@seccyretta","RT @Dropdeadcunts: Do you eat so much candyThat you know youre going to dieOf diabetes and dont care? I know I do lol"
"@KellyStarns","Do You Know How To Reverse Your Diabetes? Learn From These Simple Tips "
"@4_monica","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@dt4wl","Increasing consumption of coffee associated with reduced risk of type 2 diabetes, study finds "
"@Andysan_37","I pray that @urinate_ doesnt get diabetes every night"
"@LoveLalaxo","RT @NewSATQuestion: #NewSATQuestionsPaul has 47 Hersheys Bars. He eats 31, and gives 8 to his friend. What does Paul have now?a.) 16b.) "
"@Baseik","RT @BlogPodcastVid: RT @For_Sale_ The Type 2 Diabetes Cookbook  #wine #forsale #tips"
"@diabetes_probz","Getting low after you brush your teeth is literally the worst."
"@minoskookie","RT @annavTERTIN: EXOS SONG:Heart Attack And now..OverdoseNext one is..StrokeThen,Diabetesso done bye"
"@health_plan","Co-Workers, Families and Friends Step Out to Stop... "
"@Braillemansmum","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@ottman_moreno","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@angelique_freak","RT @NewSATQuestion: #NewSATQuestionsPaul has 47 Hersheys Bars. He eats 31, and gives 8 to his friend. What does Paul have now?a.) 16b.) "
"@juliangel27","@DaveHough12 are you aware that there is a huge possibility that some close familiar or yours has morbid obesity or diabetes? AmeriFAT"
"@gabrielitacuba","RT @valerinashoes: Lets form a prayer circle for @gabrielitacuba so she may avoid getting diabetes from all the sweets she has eaten. http"
"@NotiSalud","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@brosaleigh","I never had a problem with diabetes when I was doing all that cocaine!!! -my grandpa"
"@AngieYQ","RT @boltyboy: RT TraqMe is crowdfunding to make Diabetes management simpler than ever before. No Downloads ,just texting! "
"@SonOfTheDude","RT @MerckxProject: Consider giving @dwuori a few quid for his Tour De Cure effort.... "
"@BecauseRachel","I enjoy making bae brownies I wish I could do it everyday but he would get diabetes ya feel lmao"
"@Diabetes_Month","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@krispy_lk1","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@dwuori","RT @MerckxProject: Consider giving @dwuori a few quid for his Tour De Cure effort.... "
"@geeezus_","RT @AntiJokeCat: Yo mommas so fat, theres a strong chance of her developing type 2 diabetes."
"@Chanel5","RT @CraigxNJ: @louisck If Bill has 25 candy bars and eats 20 candy bars what does he have? Diabetes, Bill has diabetes."
"@skv_india","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@rev8diabetes","RT @Rico_WDE16: Diabetes* RT@JanaeElisa: The Lord has come "
"@DiabesityChat","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@amidiabetic","How does a girl who has had T1D since 2 years old deal with diabetes through the teen years? Hannahs Story "
"@carolduncan","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@alldiabetesnews","T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! "
"@Lauwennnnn","My boyfriends got diabetes and I watched him give him himself his shots and "
"@heartinchainsx","@nickjonas lol you should come talk to my mom about taking care of herself and her diabetes because she sucks at it."
"@__colesmith","RT @loganejohnson: @TrevColden holy diabetes thats a lot of Mountain Dew"
"@Shaniel03","RT @JordanGradeless: Shit u hear at the bar. Man I gotta leave  my cat has diabetes and needs it shoots# thethumbistheshit"
"@saithwells","RT @JordanGradeless: Shit u hear at the bar. Man I gotta leave  my cat has diabetes and needs it shoots# thethumbistheshit"
"@JordanGradeless","Shit u hear at the bar. Man I gotta leave  my cat has diabetes and needs it shoots# thethumbistheshit"
"@TheKingKez","mum and brother are having a circlejerk about diabetes and exercise can someone beam me out of here"
"@MarisaGarz","@Austin_Fuerst wait, you have diabetes? #imsosorry #thischangeseverything"
"@djmikeymalone","New Jenny Craig Program Effective Against Type 2 Diabetes, Study Shows - "
"@__colleague","Math Problems: If Jim has 50 chocolate bars, and eats 45, what does he have? Diabetes. Jim has diabetes..."
"@ThatGuyMcLeod","RT @Rico_WDE16: Diabetes* RT@JanaeElisa: The Lord has come "
"@jakblanch","Nato is just a nickname for an old guy who lost his toes to diabetes"
"@goodtobecrazyy","RT @Dropdeadcunts: Do you eat so much candyThat you know youre going to dieOf diabetes and dont care? I know I do lol"
"@EveryDaisyDay","I remember my mama told my uncle I had diabetes he talking bout oh she sum like boosie huh NIGGA WHAT LMAO"
"@MerckxProject","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@kbomkamp","@ClarenceLBG just made a comparison between type 1 and type 2 statistical errors and type 1&amp;2 diabetes #studygrind #crackingup"
"@_ohheyamyy","Since my brother got diabetes hes been so healthy and lost hella weight I should start eating what he makes."
"@SusanSHenry","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@TheEricaPereira","RT @DhamanRakhra: Check out REACH Diagnostics, a social enterprise born out of the @hultprize featured in @FastCoCreate at "
"@TebiaMED","RT @boltyboy: RT TraqMe is crowdfunding to make Diabetes management simpler than ever before. No Downloads ,just texting! "
"@DhamanRakhra","Check out REACH Diagnostics, a social enterprise born out of the @hultprize featured in @FastCoCreate at "
"@ProfDrAndro","Diabetes duration and severity associated with brain atrophyOAK BROOK, Ill.  Type 2 diabetes may be associated... "
"@FrankCundiff","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@hoyazoya","Type 1 diabetes survey on severe hypoglycemia: Click here to start     #t1 #hypoglycemia #type1"
"@TheJasonProject","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@mac_mac1313","my dad just said poptarts lead to early diabetes.... just stop"
"@dwuori","Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@mrinnetmaki","RT @boltyboy: RT TraqMe is crowdfunding to make Diabetes management simpler than ever before. No Downloads ,just texting! "
"@brittany__inge","Loooovvvee her! @RealSway: @MsDebbieAllen talks Diabetes, working w/ the white house &amp; raps Kool Moe Dee!  Watch: "
"@DiabetesHopeFDN","Diabetes Hope Foundation Invests in the Success of Youth with DiabetesMore than 40 students will receive... "
"@GloryVennall","Teacher: John has 32 cookies and eats 28 of them. What does John have now? Me: Diabetes. John has diabetes."
"@alans_the_name","Its not that diabetes runs In your family, its that no one runs in your family-Alan Hernandez 2014"
"@thepoorchef1","RT @richienash1: @thepoorchef1 THANK YOU FOR ALL OF YOUR INSPIRATION MR.CHARLES MATTOCKS.WE ARE EVER SO LUCKY THAT YOU GUIDE US TOWARDS A C"
"@DrTipsbits","How gestational diabetes affects your unborn baby - "
