"@bioDiabetes","#Diabetes News: Recipe for Poor Wound Healing Bacterial Infection Plus Stress "
"@hoops_Daddy","RT @Go2Slp: You guys.I just saw a bake sale to benefit a childhood diabetes foundation.The struggle is real."
"@Mr_Kapowski","RT @Go2Slp: You guys.I just saw a bake sale to benefit a childhood diabetes foundation.The struggle is real."
"@16January1979","Cinnamon Roll Pancakes ..... sounds like diabetes"
"@ThePrime_Mapp","As a joke I say no to chocolate from my dad cuz Ill get diabetes. What, youll only get it when its dark? Youre dark all the time ..."
"@brenna_julia","I swear sometimes my sisters diabetes gets out of control"
"@YockovJeff","@michaelstrahan rt BHOP 4ds May 9 7:30am Joe Hand Gym Philly donate at door benefit Juv diabetes Resear Foundation "
"@DammitDamian","New podcast w/ KEITH MORRIS @offofficial! We talk in depth about diabetes death &amp; what keeps him going! @VICERECORDS"
"@BDSupperClub","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@BcbbleGcm","I sob over when i remeber my mom has to take a pill everyday or she dies and my dad has diabetes thar i probably will too  @KittyPcws"
"@da_lil_mokestah","RT @TheNewSAT: #NewSATQuestionsPaul has 47 Hersheys Bars. He eats 31, and gives 8 to his friend. What does Paul have now?a.) 16b.) 8c.)"
"@NRBaybee","RT @Dropdeadcunts: Do you eat so much candyThat you know youre going to dieOf diabetes and dont care? I know I do lol"
"@seccyretta","RT @Dropdeadcunts: Do you eat so much candyThat you know youre going to dieOf diabetes and dont care? I know I do lol"
"@4_monica","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@tradetheday_","I bet these key employees are all cheaply insured ie theyre not paying for the overweight 50 yr old w diabetes. That premiums too high.."
"@LoveLalaxo","RT @NewSATQuestion: #NewSATQuestionsPaul has 47 Hersheys Bars. He eats 31, and gives 8 to his friend. What does Paul have now?a.) 16b.) "
"@health_plan","Co-Workers, Families and Friends Step Out to Stop... "
"@LaurenSolomon_","Sometimes diabetes has its perks. Like not having to go to school tomorrow."
"@angelique_freak","RT @NewSATQuestion: #NewSATQuestionsPaul has 47 Hersheys Bars. He eats 31, and gives 8 to his friend. What does Paul have now?a.) 16b.) "
"@juliangel27","@DaveHough12 are you aware that there is a huge possibility that some close familiar or yours has morbid obesity or diabetes? AmeriFAT"
"@gabrielitacuba","RT @valerinashoes: Lets form a prayer circle for @gabrielitacuba so she may avoid getting diabetes from all the sweets she has eaten. http"
"@valerinashoes","Lets form a prayer circle for @gabrielitacuba so she may avoid getting diabetes from all the sweets she has eaten. "
"@satank1ttyy","RT @LivStoner: If the saying you are what you eat was true, I would be a burrtio filled with ice cream and diabetes"
"@SonOfTheDude","RT @MerckxProject: Consider giving @dwuori a few quid for his Tour De Cure effort.... "
"@jewfrodrummer","RT @ScottSeigel: Eye spy with my little eye..... Diabetes "
"@BecauseRachel","I enjoy making bae brownies I wish I could do it everyday but he would get diabetes ya feel lmao"
"@dwuori","RT @MerckxProject: Consider giving @dwuori a few quid for his Tour De Cure effort.... "
"@geeezus_","RT @AntiJokeCat: Yo mommas so fat, theres a strong chance of her developing type 2 diabetes."
"@Chanel5","RT @CraigxNJ: @louisck If Bill has 25 candy bars and eats 20 candy bars what does he have? Diabetes, Bill has diabetes."
"@MerckxProject","Consider giving @dwuori a few quid for his Tour De Cure effort.... "
"@amidiabetic","How does a girl who has had T1D since 2 years old deal with diabetes through the teen years? Hannahs Story "
"@Lauwennnnn","My boyfriends got diabetes and I watched him give him himself his shots and "
"@heartinchainsx","@nickjonas lol you should come talk to my mom about taking care of herself and her diabetes because she sucks at it."
"@Shaniel03","RT @JordanGradeless: Shit u hear at the bar. Man I gotta leave  my cat has diabetes and needs it shoots# thethumbistheshit"
"@saithwells","RT @JordanGradeless: Shit u hear at the bar. Man I gotta leave  my cat has diabetes and needs it shoots# thethumbistheshit"
"@JordanGradeless","Shit u hear at the bar. Man I gotta leave  my cat has diabetes and needs it shoots# thethumbistheshit"
"@LivStoner","If the saying you are what you eat was true, I would be a burrtio filled with ice cream and diabetes"
"@MarisaGarz","@Austin_Fuerst wait, you have diabetes? #imsosorry #thischangeseverything"
"@__colleague","Math Problems: If Jim has 50 chocolate bars, and eats 45, what does he have? Diabetes. Jim has diabetes..."
"@jakblanch","Nato is just a nickname for an old guy who lost his toes to diabetes"
"@goodtobecrazyy","RT @Dropdeadcunts: Do you eat so much candyThat you know youre going to dieOf diabetes and dont care? I know I do lol"
"@EveryDaisyDay","I remember my mama told my uncle I had diabetes he talking bout oh she sum like boosie huh NIGGA WHAT LMAO"
"@MerckxProject","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@_ohheyamyy","Since my brother got diabetes hes been so healthy and lost hella weight I should start eating what he makes."
"@SusanSHenry","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@MNC_DaveG","Ive been replaced at reception of Diabetes Qld.... But at least it was by a mate....  "
"@ProfDrAndro","Diabetes duration and severity associated with brain atrophyOAK BROOK, Ill.  Type 2 diabetes may be associated... "
"@awg_allan","@asmithb Nice post. Has your weight changed with the sugars. I am guessing not because the carbs are down. Diabetes is nasty be careful"
"@FrankCundiff","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@TheJasonProject","RT @dwuori: Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@mac_mac1313","my dad just said poptarts lead to early diabetes.... just stop"
"@ScottSeigel","Eye spy with my little eye..... Diabetes "
"@mistergoats","@hurrrdurrr first time moms also ignore things like gestational diabetes diagnoses. @howetolove"
"@dwuori","Im only $118 from 4th place in SC Tour de Cure fundraising for @AmDiabetesAssn. Id so appreciate your support. "
"@GloryVennall","Teacher: John has 32 cookies and eats 28 of them. What does John have now? Me: Diabetes. John has diabetes."
