"@based_marina","RT @CharlesLapuz: @based_marina operation diabetes."
"@VanVaVeu","@ngsokkan im alr getting diabetes, still not daily? Hahaha"
"@j2hanson","Tweaking the routine a bit. Bracing for my first ever shot of Lantus! #diabetes #t1d "
"@jliberatore14","As much as @NoahBadgley jokes about having diabetes or wanting to have it, Im going to actually laugh when you do get diabetes"
"@jessicagdep","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@Christianassad","Voluntis raises $29M to bring diabetes app to US "
"@a_gar13","@BachBaum gettin my diabetes swag on"
"@DCSontheroad","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@Diabetes_360","Sorry Ive been so quiet lately guys &amp; girls. Ive been absolutely buried with study. Its craaaaazy busy!!! That... "
"@chatoloco1","Between my diverticulitis , diabetes,  and planterfacioudos im a mess health wise"
"@leestidam8","RT @type1girl: but really my endos, family, and friends are the ones that make living with diabetes easier. thank you for supporting me"
"@nessisms","@mrsbojane life would be easier without diabetes or pregnancy restrictions. For example I could eat a ham sandwich."
"@lexijay97","RT @neeliE_araS: I really do just hate diabetes"
"@HeSoCheesy","This is bacoN COVERED IN CHOCOLATE IM SO TORN BETWEEN LUST AND SHAME AMERICA COME ON THIS IS DIABETES ON A STICK "
"@elanawurm","RT @type1girl: but really my endos, family, and friends are the ones that make living with diabetes easier. thank you for supporting me"
"@NecySimplyMe","Diabetes aint no fun at all I hate I gotta go thru this"
"@DiabetesyBdP","New post: Diabetes Questions: I have Type 2 diabetes. My doctor recommends glucophage. What do  de"
"@emilyolsennn","@type1girl: but really my endos, family, and friends are the ones that make living with diabetes easier. thank you for supporting me"
"@Mikenzie_Leanne","RT @type1girl: but really my endos, family, and friends are the ones that make living with diabetes easier. thank you for supporting me"
"@PhilipCSwanson","No worries guys, I found the wikipedia page!  Phew! For a sec, I thought Id never know which movies mention diabetes."
"@NicoleHonesto","RT @type1girl: but really my endos, family, and friends are the ones that make living with diabetes easier. thank you for supporting me"
"@type1girl","but really my endos, family, and friends are the ones that make living with diabetes easier. thank you for supporting me"
"@Imsirbizzle_","@lovinggfaux too much water or diabetes?"
"@lindsay__pierce","RT @surrruh_hurds: One time I lied and told people I had diabetes and that my sugar was low so I could be first in line for donuts. Laura"
"@Christine_1218","RT @4Paths2Wellness: Diabetes: My Personal Story  via @4Paths2Wellness My personal #blog on my battle with #diabetes."
"@SuanneHowes","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@Imjus_pretty","@LordAbstract diabetes on a plate"
"@newshourbd","Cloning approach makes diabetes stem celladvance "
"@mstorabby","Sad news: im forcing myself to go get tested for diabetes soon because I think I have it :("
"@ilvmntnbkng","RT @Jp_Johnson_20: #tbt when I was on the brink of diabeetus And yes I know thats not how you spell diabetes "
"@Jp_Johnson_20","#tbt when I was on the brink of diabeetus And yes I know thats not how you spell diabetes "
"@_babyadri","@RowdyHaack Yeah I use it to keep track of what I eat too especially my carb intake cause of my diabetes. its a pretty cool app! thats good!"
"@Mike_Loughman","@snivelsandbits its vaping not fucking diabetes, dude."
"@ashley_white","@SabrinaO0318 yeah, theyre really sugary. So much sugar. Does something to the blood. Boiling diabetes, perhaps?"
"@mador_joanne","The Truth About Exercise -  via @DailymotionUSA The start to my investigation into beating diabetes. #prof210"
"@DSturdi","we ride in 5 days!!!...... (although I ride this diabetes ride every day :p) "
"@_MackDaddyTre","RT @YaBishTrap: #TweetLikeYouGottaDarkSkinBae All this CHOCOLATE and all my diabetes what am I gonna do!"
"@erika_lowery","I hate it when my parents make me feel bad about having diabetes. It happened. Get over it."
"@Sofia_Austin7","@amenkardashian *DIABETES* learn how to spell."
"@NoahBadgley","If I could have any disease,I would want scurvy.Because pirates have scurvy and pirates are badass.Plus Im 99% sure i already have diabetes"
"@YaBishTrap","#TweetLikeYouGottaDarkSkinBae All this CHOCOLATE and all my diabetes what am I gonna do!"
"@GrandFathrTiddy","Everybody wants diabetes"
"@dominickcosta","@Sullyvanskikins @LisaComento @ant_kneee @McGuireMeredith @getcrackin @CCtoMB jealous .. Im heading closer to diabetes this weekend.."
"@_SkipLouSkip","@vinnymillobaby @LisiMichelle my neck look like it suffers from diabetes"
"@thebeansource","Heres an interesting... "
"@fleur_CestLaVie","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@dakotarpeters","@ItsFoodPorn this is diabetes on a plate"
"@MeBeHealthy","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@katieisbell","ive officially had type one diabetes for five years today. cant even wrap my head around that. so grateful for everything."
"@wonderlauren","Am I gonna have diabetes in the morning"
"@MLGHoNoReD","@SheswantstheD thats looks like diabetes on a plate"
"@Possyboots","@xxJadeJones No! I have gestational diabetes! Oh my god"
"@DeborahBarnes15","Splenda (Sucralose) Found To Have Diabetes-Promoting Effects "
"@RAEmonstuhh","#Diabetes re-did my ribbon with my cuzzo again yesterday. "
"@pam_pixie771","Dining with Diabetes | MSU Extension "
"@MzzBodacious","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@CaudillAlly","Always take perfect care of myself because if my diabetes. Its just so tiring &amp; stressful"
"@Baseik","RT @BlogPodcastVid: RT @For_Sale_ The Type 2 Diabetes Cookbook  #wine #forsale #tips"
"@diabetes_probz","Getting low after you brush your teeth is literally the worst."
"@DiabeticTalks","Living with Codependency? My diabetes can wait after all he or she has such potential!  #diabetes"
"@diabetes_is_me_","RT @FunnyPicsDepot: lmao im done  "
"@Possyboots","@FaeryRae gestational diabetes!!!!!!! Im goi g to pass out"
"@Braillemansmum","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@pokemonstyIes","I think I scared Alysha off with my tweet I think I scared everyone off with my tweet about SUGA and DIABETES Im so sorry"
"@ottman_moreno","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@neeliE_araS","I really do just hate diabetes"
"@BreeAgustin","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@ImOnly_Bee","That looks like diabetes on a plate"
"@ign0rancia","RT @nickjonas: Things to be grateful for.. My last diabetes check up I had my best numbers ever. #healthydiabetic"
"@NotiSalud","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@TrueLPS","Id love to swim in a pool of cookie dough, but I feel like salmonella, diabetes, or hypothermia would take me first."
"@brosaleigh","I never had a problem with diabetes when I was doing all that cocaine!!! -my grandpa"
"@annacshouv","RT @haydenparrill_: @annacshouv I think my diabetes is flaring up, hows yours?"
"@sherrybart72","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@Brad_Shaw_22","@kelsterrsss fancy people must have diabetes"
"@AngieYQ","RT @boltyboy: RT TraqMe is crowdfunding to make Diabetes management simpler than ever before. No Downloads ,just texting! "
"@YockovJeff","@CutonDime25 BHOP going 4ds May 9 7:30am Joe Hand Gym Phila benefit Juvenile Diabetes Resear Found donate at door "
"@katieisbell","five years ago today i was diagnosed with type one diabetes. every year, i go to the cheesecake "
"@___Odio___","Sometimes I think I have diabetes"
"@mommy_diabetes","Irenes Daily Social is out!  Stories via @Diabetes4cast @Jawbone"
"@His_MamaCita","I need make a doctors appointment again for my diabetes smh crazy man it is"
"@Medi_Health","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@BBGNetwork","#NOW PLAYING  - Diabetes Awareness PSA #BBG NETWORK"
"@Diabetes_Month","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@krispy_lk1","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@BEIGEIXVIII","RT @Real_MLee: All that cake gave me diabetes lol"
"@BEIGEIXVIII","RT @Real_MLee: @BEIGEIXVIII Im just tryna survive with diabetes lol"
"@Kourtn3yGarcia","@chase_mcc10 I blame you for my diabetes"
"@RichwoodKY","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@loopzoop","i eat glazed doughnuts every morning for breakfast i cant wait for adult diabetes"
"@skv_india","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@FlySSociety","I think I have diabetes honesty"
"@DiabesityChat","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@carolduncan","RT @alldiabetesnews: T1 diabetics and parents of children with diabetes, contribute to this worldwide 2 min survey about carb counting! htt"
"@Real_MLee","All that cake gave me diabetes lol"
"@dr_ven","Early in the morning giving me diabetes."
"@its_ninnen","RT @M_Pillot: 99% sure I have some temporary diabetes thanks to @its_ninnens peanut butter eggs."
"@TreeVinos","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@Real_MLee","@BEIGEIXVIII Im just tryna survive with diabetes lol"
"@KatOrchard","Today I thought I had diabetes, so Ive come to the life decision that Im not eating sugar anymore.."
"@CarlaYNix","Managing Diabetes is out! "
"@surrruh_hurds","One time I lied and told people I had diabetes and that my sugar was low so I could be first in line for donuts. Laura just said this. "
"@kcrmd","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@Sensawunda","RT @GrapeSodaJamb: Houston, we have a problem. Its diabetes."
"@Manatee_Bait","I get the worst craps from diabetes. I feel you monthly thots"
"@75JAH_","CALL ME WHAT YOU WANT BUT YOU CANT CALL ME SLIM...... PULL UP WITH NO DIET AND DIABETES  LOOOL "
"@ChrissyAWriting","Boo! Hiss! Im going to need to go get tested for diabetes.  It runs in my family and Ive been ignoring symptoms for too long."
"@SeniorsPayLess","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@Tony_Rotella","@KEEBLERisTiny God Soft Batch cookies are the shit. I had a pre-diabetes flashback, and now Im drooling on myself."
"@Jay0253","Oreo cookie covered by a chocolate chip cookie.... so delicious... incoming diabetes xD"
"@reneejua98","Diabetes can suck mah dick too"
"@DynaProDirect","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@ronfeir","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@NiekosMom","So the bad news is I have diabetes, thyroid problems, hormone problems, severe vitamin deficiencies and I will die If I dont change. SUPER!"
"@EverydayHealth","7 Foods That Spike Blood Sugar "
"@BobbieWolfer","Hi my name is Brenda Porter, I was given the diagnosis of diabetes, high cholesterol and ooooh the hot flashes! I... "
"@undeadslacker","Guess I could have diabetes and be ugly. Plus Im zombie king so haha jokes on all of you."
"@loopsylore","RT @GrapeSodaJamb: Houston, we have a problem. Its diabetes."
"@grungecliffrd","Ive been feeling v insecure abt my diabetes lately and I never really have before and I dont understand why"
"@Iamjaci","@Evan_Redbone @ThatsSoKrista @RawrRolando @CalebMarcotte98 fuck you ginger bitch Im not a candy at all bc I have a fucking diabetes ya bish"
"@eahawkk","@audcking: @eahawkk I ate too many mixed nuts and now I have diabetes  thank you"
"@TebiaMED","RT @boltyboy: RT TraqMe is crowdfunding to make Diabetes management simpler than ever before. No Downloads ,just texting! "
"@skinnyme92","My waist to hip ratio means I have a very high risk to develop diabetes or heart disease. Excuse me while I mentally shoot myself 20x :)"
"@KConner434","@SweetasDixie15 holy diabetes "
"@DSturdi","RT @alldiabetesnews: DiabetesHealth - Medication Errors Oops Wrong Insulin  #diabetes"
"@kaylapaixao","my tow honestly hurts so much i probably have diabetes"
"@AlexMusseman","Tryna run to the stars but I got diabetesBut i got some sweet tarts so go ahead, try to beat me#bars #famousamuss #GetOnMyLevel"
"@mrinnetmaki","RT @boltyboy: RT TraqMe is crowdfunding to make Diabetes management simpler than ever before. No Downloads ,just texting! "
"@frenchfryziall","Im getting diabetes"
"@CCeccanese","@MaxFieldstone yeah thats Markie #diabetes"
"@xogabbykxo","So wait..if I possibly have diabetes does that mean I have to watch the amount of sugar I eat...oh no.."
"@wencyracha","Yo some chocolate glazed donuts sound bomb af right now #diabetes"
"@troysotrill","these lifesavers aint doin shit but givin me diabetes"
"@StopDiabetes3","We need people with diabetes up and moving."
"@thePink_Elefant","RT @KiptonForrest: Me: so what seems to be the problem today sir?@sbiggs757 : I have diabetes, fix it.Me:   ....uh......I dont think I c"
"@becca11890","I never realize how bad diabetes is till I go to the doctor! #Type1Problems #diabetesproblems"
"@asmithb","Im now at-risk for diabetes and other ways living in #Cambodia has changed me "
